Order ID,Order Date,Region,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Segment
ORD-1001,2025-06-13,East,Illinois,Technology,Phones,Brother Phones,461.96,2,0.0,44.0,Consumer
ORD-1002,2022-11-01,East,Florida,Furniture,Chairs,Site Chairs,1020.6,1,0.1,161.26,Consumer
ORD-1003,2023-11-25,West,Georgia,Technology,Copiers,Election Copiers,570.82,1,0.1,85.09,Home Office
ORD-1004,2023-09-05,West,Florida,Office Supplies,Storage,Chair Storage,222.38,7,0.0,-4.56,Corporate
ORD-1005,2023-03-02,Central,California,Office Supplies,Envelopes,Require Envelopes,929.66,2,0.3,-149.3,Home Office
ORD-1006,2025-01-18,Central,North Carolina,Office Supplies,Envelopes,Begin Envelopes,1415.05,1,0.1,263.96,Consumer
ORD-1007,2025-03-29,East,Ohio,Furniture,Tables,Knowledge Tables,917.75,6,0.1,-13.68,Corporate
ORD-1008,2022-11-12,East,North Carolina,Furniture,Bookcases,All Bookcases,358.85,4,0.1,11.17,Home Office
ORD-1009,2023-02-16,West,Pennsylvania,Office Supplies,Envelopes,Discover Envelopes,473.52,1,0.2,0.28,Consumer
ORD-1010,2023-09-20,Central,Florida,Furniture,Tables,Mouth Tables,1008.48,8,0.1,-68.13,Home Office
ORD-1011,2025-04-16,South,North Carolina,Furniture,Bookcases,Agreement Bookcases,736.75,3,0.3,-113.86,Corporate
ORD-1012,2025-02-11,West,New York,Furniture,Chairs,Decide Chairs,855.88,2,0.3,-7.87,Home Office
ORD-1013,2025-06-29,Central,Michigan,Office Supplies,Envelopes,Science Envelopes,1366.96,2,0.2,251.93,Consumer
ORD-1014,2025-01-17,Central,Ohio,Office Supplies,Binders,Kind Binders,918.37,5,0.1,49.45,Consumer
ORD-1015,2023-09-01,West,New York,Furniture,Bookcases,List Bookcases,1529.77,9,0.0,152.17,Corporate
ORD-1016,2025-03-27,East,Pennsylvania,Office Supplies,Binders,Fall Binders,494.12,4,0.0,-77.66,Corporate
ORD-1017,2022-10-04,West,New York,Office Supplies,Binders,Song Binders,961.06,9,0.1,-64.84,Home Office
ORD-1018,2023-05-30,West,Michigan,Technology,Copiers,Save Copiers,1385.94,5,0.3,412.42,Home Office
ORD-1019,2024-07-11,South,Michigan,Technology,Machines,Grow Machines,259.59,4,0.0,-8.04,Corporate
ORD-1020,2023-11-29,West,California,Technology,Accessories,Clearly Accessories,1421.53,1,0.1,-236.4,Consumer
ORD-1021,2023-08-24,East,Michigan,Furniture,Bookcases,Source Bookcases,571.38,8,0.1,39.78,Consumer
ORD-1022,2024-02-28,West,Georgia,Technology,Copiers,Blue Copiers,397.01,2,0.3,-9.07,Corporate
ORD-1023,2023-02-15,East,Texas,Office Supplies,Art,Husband Art,817.19,6,0.0,-61.84,Consumer
ORD-1024,2023-02-21,West,Ohio,Furniture,Furnishings,Her Furnishings,571.52,4,0.0,12.33,Consumer
ORD-1025,2024-03-11,East,Michigan,Technology,Phones,Pm Phones,1938.61,4,0.1,6.22,Consumer
ORD-1026,2023-11-08,South,California,Office Supplies,Paper,Surface Paper,770.37,7,0.2,202.81,Consumer
ORD-1027,2022-11-30,South,Michigan,Office Supplies,Storage,Show Storage,1442.45,3,0.1,-74.5,Home Office
ORD-1028,2024-09-06,Central,California,Furniture,Chairs,Not Chairs,1176.67,9,0.1,-201.87,Consumer
ORD-1029,2023-04-05,West,Texas,Technology,Phones,Win Phones,154.56,4,0.3,-21.65,Home Office
ORD-1030,2024-05-04,East,North Carolina,Technology,Accessories,Bar Accessories,850.07,10,0.2,227.27,Consumer
ORD-1031,2025-01-28,West,Illinois,Furniture,Bookcases,Finally Bookcases,279.14,5,0.3,-11.7,Corporate
ORD-1032,2025-05-27,South,North Carolina,Furniture,Chairs,Present Chairs,1992.27,2,0.1,105.48,Home Office
ORD-1033,2024-04-07,East,Florida,Furniture,Bookcases,Participant Bookcases,584.28,8,0.2,61.84,Corporate
ORD-1034,2023-07-19,Central,Texas,Technology,Phones,Sea Phones,543.64,2,0.1,-34.7,Consumer
ORD-1035,2023-01-10,Central,Florida,Technology,Accessories,Answer Accessories,1275.79,5,0.3,-94.97,Home Office
ORD-1036,2025-07-17,South,Illinois,Furniture,Chairs,Drive Chairs,27.02,3,0.2,-3.22,Consumer
ORD-1037,2023-12-17,South,Michigan,Office Supplies,Envelopes,Base Envelopes,241.51,3,0.0,52.48,Consumer
ORD-1038,2023-09-20,South,New York,Technology,Accessories,Trial Accessories,630.35,1,0.2,-59.86,Consumer
ORD-1039,2023-02-27,Central,Michigan,Furniture,Chairs,Husband Chairs,1948.2,3,0.1,452.57,Corporate
ORD-1040,2023-11-29,East,New York,Furniture,Furnishings,Long Furnishings,1850.48,7,0.1,-123.24,Home Office
ORD-1041,2025-06-07,South,California,Technology,Phones,They Phones,460.42,8,0.2,-21.83,Corporate
ORD-1042,2024-04-12,East,Florida,Furniture,Tables,Commercial Tables,669.96,2,0.2,-16.37,Corporate
ORD-1043,2024-04-21,Central,California,Technology,Copiers,Hear Copiers,1756.54,5,0.1,158.61,Consumer
ORD-1044,2023-08-15,East,North Carolina,Office Supplies,Binders,Religious Binders,704.46,6,0.3,72.63,Corporate
ORD-1045,2023-11-12,South,North Carolina,Technology,Phones,Science Phones,524.35,7,0.0,31.44,Consumer
ORD-1046,2025-08-20,Central,Ohio,Technology,Accessories,Raise Accessories,1898.77,6,0.2,250.06,Consumer
ORD-1047,2023-01-12,Central,Ohio,Furniture,Bookcases,Politics Bookcases,816.75,5,0.1,-85.01,Corporate
ORD-1048,2025-06-06,West,North Carolina,Technology,Copiers,Congress Copiers,615.88,9,0.0,-29.6,Home Office
ORD-1049,2024-12-31,Central,Georgia,Furniture,Furnishings,Shoulder Furnishings,895.48,4,0.3,176.29,Corporate
ORD-1050,2023-10-09,East,Illinois,Technology,Accessories,Common Accessories,1334.43,10,0.2,-204.58,Home Office
ORD-1051,2024-09-11,West,Florida,Furniture,Bookcases,Hundred Bookcases,68.36,4,0.3,7.22,Consumer
ORD-1052,2023-11-17,South,North Carolina,Furniture,Furnishings,Wish Furnishings,1442.32,7,0.3,-0.25,Consumer
ORD-1053,2025-06-14,East,Ohio,Furniture,Chairs,Rise Chairs,368.26,9,0.3,-64.41,Consumer
ORD-1054,2025-02-05,South,New York,Furniture,Chairs,Discuss Chairs,1341.8,9,0.2,369.02,Corporate
ORD-1055,2025-08-22,South,Michigan,Office Supplies,Envelopes,Garden Envelopes,1796.47,8,0.3,-126.48,Corporate
ORD-1056,2022-12-19,South,Florida,Furniture,Bookcases,Drop Bookcases,890.95,5,0.1,-57.15,Corporate
ORD-1057,2022-11-12,East,New York,Office Supplies,Envelopes,Support Envelopes,477.9,3,0.1,-80.23,Consumer
ORD-1058,2024-01-27,South,Ohio,Office Supplies,Storage,Institution Storage,429.53,7,0.3,108.42,Consumer
ORD-1059,2023-11-13,South,Georgia,Technology,Phones,Attorney Phones,1886.63,5,0.3,427.74,Consumer
ORD-1060,2023-08-17,West,Georgia,Office Supplies,Envelopes,White Envelopes,560.41,8,0.0,-3.12,Consumer
ORD-1061,2025-02-21,West,Georgia,Technology,Copiers,Under Copiers,1961.83,9,0.0,497.25,Consumer
ORD-1062,2024-01-25,East,Ohio,Technology,Phones,Difference Phones,1736.37,3,0.0,-121.41,Consumer
ORD-1063,2025-07-08,South,Pennsylvania,Office Supplies,Paper,Money Paper,1527.23,7,0.2,268.8,Corporate
ORD-1064,2024-05-30,East,Georgia,Office Supplies,Storage,Usually Storage,1503.07,1,0.2,-132.1,Consumer
ORD-1065,2025-06-18,East,Florida,Furniture,Chairs,Low Chairs,1681.67,10,0.1,-135.76,Consumer
ORD-1066,2023-05-03,West,Georgia,Office Supplies,Binders,Evidence Binders,527.36,6,0.1,54.29,Home Office
ORD-1067,2023-04-28,West,Illinois,Technology,Phones,Employee Phones,1165.8,5,0.3,-1.95,Consumer
ORD-1068,2025-02-12,East,North Carolina,Technology,Accessories,Nothing Accessories,1664.53,4,0.0,247.34,Home Office
ORD-1069,2023-11-06,East,North Carolina,Office Supplies,Envelopes,Skin Envelopes,707.46,7,0.2,-117.1,Consumer
ORD-1070,2025-03-20,East,Ohio,Technology,Machines,Later Machines,228.97,6,0.3,35.18,Corporate
ORD-1071,2025-03-18,Central,North Carolina,Office Supplies,Paper,Inside Paper,1553.79,8,0.3,330.75,Home Office
ORD-1072,2024-04-08,Central,Florida,Technology,Machines,Discuss Machines,572.28,8,0.1,100.29,Consumer
ORD-1073,2023-04-26,Central,California,Technology,Copiers,Mr Copiers,1704.89,3,0.3,-160.16,Corporate
ORD-1074,2024-10-29,Central,North Carolina,Office Supplies,Storage,Benefit Storage,1762.61,9,0.0,102.78,Home Office
ORD-1075,2022-12-06,West,Ohio,Furniture,Chairs,Traditional Chairs,1119.25,4,0.3,137.61,Corporate
ORD-1076,2023-03-13,East,Texas,Office Supplies,Art,Claim Art,458.76,4,0.2,60.55,Corporate
ORD-1077,2025-05-25,Central,Ohio,Office Supplies,Art,Collection Art,1109.77,6,0.3,-71.63,Home Office
ORD-1078,2025-08-16,East,Florida,Office Supplies,Paper,Knowledge Paper,256.72,9,0.1,-26.76,Corporate
ORD-1079,2025-04-07,Central,North Carolina,Technology,Copiers,Attack Copiers,1201.65,2,0.1,-62.34,Home Office
ORD-1080,2024-05-13,Central,California,Office Supplies,Paper,I Paper,1077.59,5,0.0,309.43,Home Office
ORD-1081,2025-04-06,West,Georgia,Technology,Machines,Management Machines,1747.99,10,0.2,60.65,Consumer
ORD-1082,2024-12-23,West,California,Office Supplies,Storage,Enter Storage,1883.31,8,0.0,397.49,Corporate
ORD-1083,2025-01-30,East,North Carolina,Office Supplies,Art,Traditional Art,1379.17,3,0.1,283.52,Home Office
ORD-1084,2022-10-11,West,Texas,Office Supplies,Binders,Response Binders,1533.6,10,0.1,288.08,Home Office
ORD-1085,2023-03-20,South,Illinois,Office Supplies,Art,Rest Art,1980.26,5,0.0,207.56,Home Office
ORD-1086,2025-01-05,West,Florida,Technology,Phones,Social Phones,1327.65,3,0.1,-150.15,Corporate
ORD-1087,2023-11-12,East,Ohio,Furniture,Tables,Specific Tables,1384.95,8,0.2,-254.39,Corporate
ORD-1088,2025-06-15,South,Texas,Office Supplies,Storage,Grow Storage,482.18,5,0.1,6.06,Home Office
ORD-1089,2023-03-16,West,Illinois,Technology,Accessories,Finally Accessories,161.39,3,0.2,15.74,Consumer
ORD-1090,2024-07-30,South,Texas,Technology,Machines,Coach Machines,1383.58,7,0.2,69.51,Corporate
ORD-1091,2024-08-28,East,North Carolina,Office Supplies,Art,About Art,1781.06,6,0.2,-333.18,Consumer
ORD-1092,2023-11-07,Central,North Carolina,Furniture,Chairs,Month Chairs,1530.96,3,0.3,91.06,Consumer
ORD-1093,2023-06-28,West,North Carolina,Office Supplies,Storage,Movement Storage,1276.87,8,0.0,44.7,Corporate
ORD-1094,2023-03-08,Central,Texas,Office Supplies,Storage,Truth Storage,673.01,8,0.2,88.36,Consumer
ORD-1095,2025-05-22,East,Georgia,Office Supplies,Envelopes,Fire Envelopes,642.74,6,0.0,183.24,Consumer
ORD-1096,2025-06-12,East,Michigan,Office Supplies,Envelopes,Movement Envelopes,838.23,4,0.2,93.31,Corporate
ORD-1097,2025-04-27,East,Florida,Office Supplies,Art,Decide Art,1107.45,5,0.3,266.26,Corporate
ORD-1098,2023-05-19,East,North Carolina,Office Supplies,Binders,Hour Binders,1425.37,5,0.0,108.51,Consumer
ORD-1099,2023-06-01,East,Georgia,Furniture,Tables,Notice Tables,1302.47,3,0.3,346.88,Consumer
ORD-1100,2024-12-25,Central,Ohio,Office Supplies,Envelopes,Why Envelopes,1960.88,4,0.3,148.31,Corporate
ORD-1101,2022-09-24,West,Texas,Office Supplies,Paper,Place Paper,1549.9,7,0.2,414.02,Corporate
ORD-1102,2024-02-09,East,Illinois,Technology,Machines,Middle Machines,611.14,10,0.3,142.17,Home Office
ORD-1103,2022-10-24,South,Pennsylvania,Office Supplies,Envelopes,Brother Envelopes,1112.8,9,0.3,30.79,Corporate
ORD-1104,2024-04-09,West,North Carolina,Office Supplies,Paper,Unit Paper,482.45,7,0.0,-19.74,Corporate
ORD-1105,2024-01-14,South,New York,Office Supplies,Art,Education Art,1930.35,3,0.2,453.34,Corporate
ORD-1106,2022-12-22,South,California,Office Supplies,Binders,Effect Binders,305.43,3,0.0,10.61,Home Office
ORD-1107,2025-02-21,South,Texas,Office Supplies,Storage,Your Storage,1707.64,9,0.3,473.14,Corporate
ORD-1108,2023-01-24,East,North Carolina,Technology,Copiers,Bed Copiers,484.85,5,0.1,84.06,Consumer
ORD-1109,2024-10-17,East,Georgia,Office Supplies,Binders,Team Binders,1394.12,1,0.0,-52.72,Consumer
ORD-1110,2023-01-09,Central,Pennsylvania,Furniture,Bookcases,Soon Bookcases,308.23,9,0.3,25.57,Corporate
